Employee No,Profit Center,Employee Name,Employee Position,Employee Location,People Group,Employee Category,Supervisor name,Join Date,Current Status,Termination Date,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Tenure
1,PC - 1,Rochette Jilleen,Level 2,Location 3,Client Service Staff,Level 1/2,Idalina Lauraine,2000-09-30,Active,2021-11-30,2088,1802.0,636.0,216.0,70.0,1192.0,56.0,0.35294117647058826,7731
2,PC - 2,Daryl Natalina,Level 2,Location 7,Client Service Staff,Level 1/2,Idalina Lauraine,1999-05-31,Active,2021-11-30,2088,1882.0,555.5,156.0,50.0,694.0,734.0,0.29516471838469716,8219
3,PC - 2,Annnora Gabrielle,Level 2,Location 7,Client Service Staff,Level 1/2,Idalina Lauraine,2001-01-31,Active,2021-11-30,2088,1898.5,1004.5,144.0,45.5,507.0,549.5,0.5291019225704503,7608
4,PC - 3,Barbee Joey,Level 2,Location 1,Client Service Staff,Level 1/2,Idalina Lauraine,2000-09-30,Active,2021-11-30,2088,1851.0,273.0,208.0,29.0,1382.0,255.0,0.14748784440842788,7731
5,PC - 4,Idalina Lauraine,Level 1,Location 3,Client Service Staff,Level 1/2,Abagail Druci,1998-06-30,Active,2021-11-30,1312,1205.0,149.0,104.0,3.0,1159.0,818.0,0.12365145228215768,8554
6,PC - 1,Jordanna Danya,Level 2,Location 3,Client Service Staff,Level 1/2,Idalina Lauraine,2002-06-30,Active,2021-11-30,2088,1823.0,471.0,260.0,5.0,1420.0,261.0,0.25836533187054306,7093
7,PC - 1,Irene Candis,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2004-07-31,Active,2021-11-30,2088,1736.0,355.0,270.0,82.0,1052.0,383.0,0.20449308755760368,6331
8,PC - 3,Kakalina Lorry,Level 4,Location 1,Client Service Staff,Serving Notice Period,Tallia Eyde,2004-07-31,Resigned,2017-01-31,1744,1528.0,97.0,216.0,0.0,1264.0,192.0,0.06348167539267016,4567
9,PC - 2,Marleah Bernadina,Level 3,Location 9,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2004-09-30,Active,2021-11-30,2088,1790.0,488.0,298.0,10.0,1036.0,276.0,0.27262569832402234,6270
10,PC - 5,Guenevere Florida,Level 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2004-10-31,Active,2021-11-30,2088,1860.0,289.0,220.0,8.0,1251.0,322.0,0.1553763440860215,6239
